年度,96年,96年,97年,97年,98年,98年,99年,99年,100年,100年
縣市,平均值,完訪樣本數,平均值,完訪樣本數,平均值,完訪樣本數,平均值,完訪樣本數,平均值,完訪樣本數
台北市,1.15,545,1.14,578,1.10,535,1.05,604,1.06,596
基隆市,1.27,328,1.3,361,0.89,387,1.03,420,1.04,451
台中市,1.2,455,1.1,503,1.06,537,0.96,505,1.03,548
台南市,1.06,411,1.11,447,1.10,442,0.96,511,0.94,546
高雄市,1.24,493,1.15,551,0.92,390,1.1,556,0.97,564
新竹市,1.39,371,1.13,367,1.04,524,1.01,382,1.02,438
嘉義市,1.17,298,1.17,327,0.94,481,0.93,379,0.95,433
宜蘭縣,1.11,342,1.13,338,0.96,359,0.97,385,0.91,472
台北縣,1.27,460,1.23,517,0.90,380,1.04,565,1.02,537
桃園縣,1.15,526,1.31,522,0.84,370,0.96,552,1.01,527
新竹縣,1.1,419,1.12,388,0.92,390,0.94,417,0.97,463
苗栗縣,1.18,357,1.14,343,1.03,486,0.95,390,0.91,449
台中縣,1.14,439,1.15,507,0.92,444,0.98,511,0.91,537
彰化縣,1.06,425,1.11,479,0.87,302,0.86,502,0.9,495
南投縣,1.13,326,1,351,1.01,345,0.89,348,1,421
雲林縣,1.08,335,0.97,385,0.87,318,0.9,432,0.87,418
嘉義縣,1.09,289,0.94,336,1.03,377,0.82,360,0.8,387
台南縣,1.19,369,1.04,463,1.08,356,0.94,424,0.94,475
高雄縣,1.1,486,1.04,493,1.09,511,0.96,560,1.01,504
屏東縣,1.12,376,1.02,420,0.94,332,0.94,461,0.91,490
台東縣,1.09,278,0.95,309,0.97,482,0.97,331,0.97,378
花蓮縣,1.13,290,1.04,319,1.09,597,0.96,337,1,414
澎湖縣,1.14,274,0.97,308,1.01,554,0.88,348,0.8,400
總計,1.17,"8,892",1.14,"9,612",1.02,"9,899",0.97,"10,280",0.98,"10,943"
,,,,,,,,,,
